state,value
Massachusetts,1.0
Maine,0.056562
Vermont,0.04664
New Hampshire,0.030591
Washington,0.029578
Wyoming,0.024406
Michigan,0.024263
California,0.023833
Rhode Island,0.023212
Alaska,0.021664
New York,0.019812
Connecticut,0.018437
Montana,0.017985
Oregon,0.016223
Nebraska,0.015762
Alabama,0.014852
Minnesota,0.014344
Kansas,0.01425
South Dakota,0.013593
Virginia,0.012877
Kentucky,0.012254
Wisconsin,0.012097
North Carolina,0.011762
Oklahoma,0.01135
Arkansas,0.011002
Missouri,0.01087
Idaho,0.01029
Nevada,0.008965
Ohio,0.008612
South Carolina,0.008347
North Dakota,0.008009
Indiana,0.007401
Iowa,0.007274
Arizona,0.006947
Texas,0.006939
Colorado,0.00657
New Jersey,0.00589
West Virginia,0.005795
Louisiana,0.005369
Tennessee,0.005158
Pennsylvania,0.004681
Delaware,0.004531
Florida,0.004293
Illinois,0.004198
Georgia,0.003896
Maryland,0.003861
Hawaii,0.003042
Utah,0.002867
Mississippi,0.001505
New Mexico,0.000398
District of Columbia,0
